1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Mar 03 23:59:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:29:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  114848
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01/09/2026, 12:59:01,%RH,98.981
01/09/2026, 13:29:01,%RH,99.458
01/09/2026, 13:59:01,%RH,98.503
01/09/2026, 14:29:01,%RH,99.458
01/09/2026, 14:59:01,%RH,98.981
01/09/2026, 15:29:01,%RH,95.601
01/09/2026, 15:59:01,%RH,96.089
01/09/2026, 16:29:01,%RH,98.981
01/09/2026, 16:59:01,%RH,97.06
01/09/2026, 17:29:01,%RH,99.932
01/09/2026, 17:59:01,%RH,98.503
01/09/2026, 18:29:01,%RH,98.503
01/09/2026, 18:59:01,%RH,99.458
01/09/2026, 19:29:01,%RH,103.207
01/09/2026, 19:59:01,%RH,101.814
01/09/2026, 20:29:01,%RH,98.503
01/09/2026, 20:59:01,%RH,101.814
01/09/2026, 21:29:01,%RH,105.041
01/09/2026, 21:59:01,%RH,105.949
01/09/2026, 22:29:01,%RH,104.128
01/09/2026, 22:59:01,%RH,102.744
01/09/2026, 23:29:01,%RH,104.585
01/09/2026, 23:59:01,%RH,101.814
02/09/2026, 00:29:01,%RH,103.668
02/09/2026, 00:59:01,%RH,101.346
02/09/2026, 01:29:01,%RH,105.949
02/09/2026, 01:59:01,%RH,104.128
02/09/2026, 02:29:01,%RH,106.849
02/09/2026, 02:59:01,%RH,103.207
02/09/2026, 03:29:01,%RH,101.346
02/09/2026, 03:59:01,%RH,103.207
02/09/2026, 04:29:01,%RH,102.744
02/09/2026, 04:59:01,%RH,104.128
02/09/2026, 05:29:01,%RH,101.814
02/09/2026, 05:59:01,%RH,105.041
02/09/2026, 06:29:01,%RH,105.949
02/09/2026, 06:59:01,%RH,103.668
02/09/2026, 07:29:01,%RH,106.849
02/09/2026, 07:59:01,%RH,106.4
02/09/2026, 08:29:01,%RH,108.187
02/09/2026, 08:59:01,%RH,101.814
02/09/2026, 09:29:01,%RH,104.128
02/09/2026, 09:59:01,%RH,104.128
02/09/2026, 10:29:01,%RH,108.63
02/09/2026, 10:59:01,%RH,101.346
02/09/2026, 11:29:01,%RH,102.28
02/09/2026, 11:59:01,%RH,104.585
02/09/2026, 12:29:01,%RH,101.346
02/09/2026, 12:59:01,%RH,103.668
02/09/2026, 13:29:01,%RH,103.207
02/09/2026, 13:59:01,%RH,100.876
02/09/2026, 14:29:01,%RH,105.041
02/09/2026, 14:59:01,%RH,101.814
02/09/2026, 15:29:01,%RH,98.503
02/09/2026, 15:59:01,%RH,103.668
02/09/2026, 16:29:01,%RH,105.949
02/09/2026, 16:59:01,%RH,101.346
02/09/2026, 17:29:01,%RH,102.28
02/09/2026, 17:59:01,%RH,104.585
02/09/2026, 18:29:01,%RH,101.814
02/09/2026, 18:59:01,%RH,104.128
02/09/2026, 19:29:01,%RH,102.28
02/09/2026, 19:59:01,%RH,103.207
02/09/2026, 20:29:01,%RH,104.585
02/09/2026, 20:59:01,%RH,103.207
02/09/2026, 21:29:01,%RH,106.4
02/09/2026, 21:59:01,%RH,102.744
02/09/2026, 22:29:01,%RH,103.207
02/09/2026, 22:59:01,%RH,102.744
02/09/2026, 23:29:01,%RH,106.4
02/09/2026, 23:59:01,%RH,104.128
03/09/2026, 00:29:01,%RH,104.585
03/09/2026, 00:59:01,%RH,104.128
03/09/2026, 01:29:01,%RH,102.744
03/09/2026, 01:59:01,%RH,104.585
03/09/2026, 02:29:01,%RH,103.207
03/09/2026, 02:59:01,%RH,103.668
03/09/2026, 03:29:01,%RH,104.585
03/09/2026, 03:59:01,%RH,102.28
03/09/2026, 04:29:01,%RH,103.668
03/09/2026, 04:59:01,%RH,104.128
03/09/2026, 05:29:01,%RH,103.207
03/09/2026, 05:59:01,%RH,102.28
03/09/2026, 06:29:01,%RH,104.128
03/09/2026, 06:59:01,%RH,103.207
03/09/2026, 07:29:01,%RH,108.63
03/09/2026, 07:59:01,%RH,109.071
03/09/2026, 08:29:01,%RH,102.744
03/09/2026, 08:59:01,%RH,104.585
03/09/2026, 09:29:01,%RH,102.744
03/09/2026, 09:59:01,%RH,82.326
03/09/2026, 10:29:01,%RH,96.575
03/09/2026, 10:59:01,%RH,94.127
03/09/2026, 11:29:01,%RH,97.06
03/09/2026, 11:59:01,%RH,95.111
03/09/2026, 12:29:01,%RH,95.601
03/09/2026, 12:59:01,%RH,91.134
